Organiser name,Email,Phone,CLAIM_URL,Notes
"1N",support@1networking.biz,"0345 862 5011","https://www.thenetworkerhub.com/organisers/1n?email=support%401networking.biz&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Aberdeen & Grampian Chamber of Commerce",info@agcc.co.uk,"","https://www.thenetworkerhub.com/organisers/chamber-of-trade-aberdeen?email=info%40agcc.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"AFVBC (Armed Forces & Veterans Breakfast Clubs)",support@afvbc.com,"07392180903","https://www.thenetworkerhub.com/organisers/afvbc-armed-forces-veterans-breakfast-clubs?email=support%40afvbc.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Alana Care Solutions",alanacaresolutions@gmail.com,"","https://www.thenetworkerhub.com/organisers/alana-care-solutions?email=alanacaresolutions%40gmail.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Amber Valley Business Networking",avbn@ambervalley-business-networking.co.uk,"01773 841496","https://www.thenetworkerhub.com/organisers/amber-valley-business-networking?email=avbn%40ambervalley-business-networking.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"ASB (Association of Scottish Business Women)",president@asb-scotland.org,"01343 890306","https://www.thenetworkerhub.com/organisers/asb-association-of-scottish-business-women?email=president%40asb-scotland.org&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Asian Business Chamber of Commerce",website@birmingham-chamber.com,"07971144080","https://www.thenetworkerhub.com/organisers/asian-business-chamber-of-commerce?email=website%40birmingham-chamber.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"B4",info@b4-business.com,"01865 742 211","https://www.thenetworkerhub.com/organisers/b4?email=info%40b4-business.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Barco business club",cassie@cfatax.co.uk,"","https://www.thenetworkerhub.com/organisers/barco-business-club?email=cassie%40cfatax.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Barnsley & Rotherham - Chamber of Commerce",info@brchamber.co.uk,"01709 386 200","https://www.thenetworkerhub.com/organisers/chamber-of-trade-barnsley-rotherham?email=info%40brchamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Batley Entrepreneurship Club",support@batleyentrepreneurshipclub.com,"","https://www.thenetworkerhub.com/organisers/batley-entrepreneurship-club?email=support%40batleyentrepreneurshipclub.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BBN Networking",brian@bbnetworking.co.uk,"07973 139959","https://www.thenetworkerhub.com/organisers/bbn-networking?email=brian%40bbnetworking.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Bedfordshire Chamber of Commerce",info@chamber-business.com,"01582 522448","https://www.thenetworkerhub.com/organisers/bedfordshire-chamber-of-commerce?email=info%40chamber-business.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Berkshire Growth Hub",info@berkshiregrowthhub.co.uk,"0118 209 0000","https://www.thenetworkerhub.com/organisers/berkshire-growth-hub?email=info%40berkshiregrowthhub.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Big Business Breakfast Club - Various Venues",jim@printlord.co.uk,"07711 948 990","https://www.thenetworkerhub.com/organisers/big-business-breakfast-club-various-venues?email=jim%40printlord.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BITA - Birmingham",jason@pocketbox.co.uk,"07587 035740","https://www.thenetworkerhub.com/organisers/bita-birmingham?email=jason%40pocketbox.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BITA - Kent",hello@hytheandseektravel.co.uk,"","https://www.thenetworkerhub.com/organisers/bita-kent?email=hello%40hytheandseektravel.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BITA - Liverpool",adam@advantageinvestment.co.uk,"07532763832","https://www.thenetworkerhub.com/organisers/bita-liverpool?email=adam%40advantageinvestment.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BITA - Northern Ireland",brendan@ghostconsultancy.com,"","https://www.thenetworkerhub.com/organisers/bita-northern-ireland?email=brendan%40ghostconsultancy.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BizSocial Networking",brianmorrison.glasgow@gmail.com,"07719 782459","https://www.thenetworkerhub.com/organisers/bizsocial-networking?email=brianmorrison.glasgow%40gmail.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"Black South West Network",admin@bswn.org.uk,"","https://www.thenetworkerhub.com/organisers/black-south-west-network?email=admin%40bswn.org.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BMUK",paul.lawton@business-matching.co.uk,"0800 2524 008","https://www.thenetworkerhub.com/organisers/bmuk?email=paul.lawton%40business-matching.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",", plus Business Matching UK - Leeds, Business Matching UK - London, Business Matching UK - Manchester, and Business Matching UK - NorthEast"
"BNI  - Head Office",dawnadlam@bni.com,"","https://www.thenetworkerhub.com/organisers/bni-head-office?email=dawnadlam%40bni.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BNI  - Head Office",simon@bni.com,"01923 891992","https://www.thenetworkerhub.com/organisers/bni-head-office-2?email=simon%40bni.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BNI - Cardiff Central",enquiries@fieldtrainingservices.co.uk,"01252547900","https://www.thenetworkerhub.com/organisers/bni-cardiff-central?email=enquiries%40fieldtrainingservices.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BNI - Carnegie (Dunfermline)",info@dublcheckcleaning.co.uk,"07554426713","https://www.thenetworkerhub.com/organisers/bni-carnegie-dunfermline?email=info%40dublcheckcleaning.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BNI - Evolution Glasgow",charlie@bniglasgowsl.com,"07967639790","https://www.thenetworkerhub.com/organisers/bni-bni-glasgow?email=charlie%40bniglasgowsl.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
"BNI - Thomas Telford (Telford)",shal@virtuallythere.co,"","https://www.thenetworkerhub.com/organisers/bni-thomas-telford-telford?email=shal%40virtuallythere.co&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim",""
