Email,Organiser name,Has signed in,Email confirmed,Auth created,Last sign in,Display name,Hub role,Organiser access at,Organiser email verified,Auth user id
chris@121businesslinks.co.uk,"121 Business Links",no,yes,2026-07-23T14:17:59.902082Z,,"121 Business Links","client",2026-07-23T14:18:00.024+00:00,2026-07-23T14:18:00.024+00:00,eaef742d-59c5-4500-a2f5-ac2fd4fe6b5c
sara@4nonline.biz,"4N Online",no,yes,2026-06-09T09:02:07.70905Z,,"4N Online","client",,,c426cd2e-1f3e-41ec-8431-a1b35c71b6fe
support@4nonline.biz,"4Networking",no,yes,2026-06-11T14:56:15.457799Z,,"4Networking","client",2026-07-08T12:44:00.135141+00:00,2026-07-08T12:44:00.135141+00:00,24c8dfc7-ad66-447b-99a6-bb40f11657f6
info@agcc.co.uk,"Aberdeen & Grampian Chamber of Commerce",no,yes,2026-07-28T13:17:17.302256Z,,"Aberdeen & Grampian Chamber of Commerce","client",2026-07-28T13:17:17.414+00:00,2026-07-28T13:17:17.414+00:00,c097926e-2c9d-46f0-bbdb-fe7f2bc3d3bc
president@abw.org.uk,"ABW (Ayrshire Business Women)",no,yes,2026-07-23T14:59:03.092048Z,,"ABW (Ayrshire Business Women)","client",2026-07-23T14:59:03.186+00:00,2026-07-23T14:59:03.186+00:00,ac3e4c98-9797-444d-bd95-4f95fa399eaf
wakefield@actioncoach.co.uk,"ActionCOACH Wakefield",no,yes,2026-06-10T14:17:48.581384Z,,"ActionCOACH Wakefield","client",2026-07-08T12:44:00.135141+00:00,2026-07-08T12:44:00.135141+00:00,ed606ead-5566-4ab8-85de-c7664d464572
support@afvbc.com,"AFVBC (Armed Forces & Veterans Breakfast Clubs)",no,yes,2026-07-23T15:06:31.128717Z,,"AFVBC (Armed Forces & Veterans Breakfast Clubs)","client",2026-07-23T15:06:31.24+00:00,2026-07-23T15:06:31.24+00:00,be511689-bb7f-438f-b036-9bd977d67a8d
info@aberdeenrenewables.com,"AREG (Aberdeen Renewable Energy Group)",no,yes,2026-07-27T11:45:20.571085Z,,"AREG (Aberdeen Renewable Energy Group)","client",2026-07-27T11:45:20.681+00:00,2026-07-27T11:45:20.681+00:00,1d92ad38-ae4d-4fbd-9605-be0fc4c522f7
lorraine@arena.org.uk,"Arena",no,yes,2026-07-27T13:10:12.261121Z,,"Arena","client",2026-07-27T13:10:12.35+00:00,2026-07-27T13:10:12.35+00:00,d4d994ae-d8aa-425f-907d-bc5db733ec42
president@asb-scotland.org,"ASB (Association of Scottish Business Women)",no,yes,2026-07-23T18:40:41.594435Z,,"ASB (Association of Scottish Business Women)","client",2026-07-23T18:40:41.691+00:00,2026-07-23T18:40:41.691+00:00,2905e738-a1ce-49fe-876e-fdad62cf3c12
