email,name,phone
aaron.unsworth@thig.co.uk,Fore Business - Manchester North,
aaron@networking-essex.co.uk,Networking Essex,07802 807197
adam@advantageinvestment.co.uk,BITA - Liverpool,07532763832
adam@csone.co.uk,Fore Business - Maidstone,
adam@small99.co.uk,Small99,
adam@studio55.ie,Fore Business -Belfast North,
admin@bswn.org.uk,Black South West Network,
admin@business-buzz.org,Business Buzz,
admin@businessjunction.co.uk,Business Junction,020 3667 6776
admin@citywomen.org,City Women Network (CWN),0330 133 1045
admin@eagb.co.uk,EAGB  (Executive Association of Great Britain),07890960161
admin@fifewomeninbusiness.com,FWB (Fife Women in Business),07534 103549
admin@hexagonlegal.com,Hexagon Legal Network (HLN),07375737544
admin@hgnetwork.org,Herefordshire Green Network,
admin@ladieswholatte.com,Ladies Who Latte,
admin@mansfieldandashfield2020.com,Mansfield & Ashfield 2020,01623 422010
admin@nottinghamcitybusinessclub.co.uk,Nottingham City Business Club,
admin@opendoorz.biz,Opendoorz,01865 565 333
admin@prospher.co.uk,ProspHER,
admin@smartplaynetwork.org,Smart Play Network,
admin@theblackprofessionals.co.uk,The Black Professionals,
admin@thesamphireclub.com,The Samphire Club,
admin@thinklikeatree.co.uk,Inspired by Nature Network,
admin@webx.org.com,WEBX (Weymouth Business Exchange),07878 762174
admin@whitstablebusinessclub.co.uk,Whitstable Business Club,
admin@womanwho.co.uk,Woman Who,
adrian.peck@peckuk.com,Fore Business - Colchester,
advicenetwork@capitalcitypartnership.org,Edinburgh Advice Network,
alan.lowry@fsb.org.uk,FSB (Federation of Small Businesses) - Northern Ireland,02890326035
alan@business-network.co.uk,The Business Network - Liverpool,07956 368 899
alan@liquidindulgence.co.uk,The Share Network Group,07971 539720
alanacaresolutions@gmail.com,Alana Care Solutions,
alastair.mcleod@businessdoctors.co.uk,BNI Pavilion,
alastairm@cipr.co.uk,Chartered Institute of Public Relations,020 7631 6900
albert@thefoundersnetwork.co.uk,The Founders Network,
alex@altrinchamhq.co.uk,Altrincham HQ,07806 774279
alex@depiqd.co.uk,Fore Business - East Grinstead,
alex@networkb2b.co.uk,Network B2B,07950527738
alex@property-connect.org,Property Connect,02034114514
alextana1950@gmail.com,Vectis Business Link,
ali.tait@mibnetwork.org.uk,Mums in Business,07855 342285
alison@durhambusinessclub.co.uk,Durham Business Group,07495 395 593
allisonk@deliciouslyorkshire.co.uk,Deliciously Yorkshire,01423 546200
alun.edwards@mmc-management.co.uk,Fore Business - Wirral,
alvina@bwcedinburgh.co.uk,BWC Edinburgh & Fife,07453276121
amanda@national-womens-network.co.uk,NWN (National Women's Network),
amy.wilkes@wibn.co.uk,Women In Business Network - Cambridge North,
amy@business-network.co.uk,The Business Network - South Humberside,
andrew@hospitalitynetwork.co.uk,Hospitality Network,07957 433 284
andrew@real5networking.com,Real5 Networking,
andrew@successnetworking.co.uk,Success Networking,
andrewjoy@actioncoach.co.uk,ActionCOACH UK,01423 229 288
andy.griffiths@kentcricket.co.uk,Team Kent Business Club,
andy.k.smealliance@gmail.com,SME Alliance,
andy.martin@real5networking.com,Real5 Networking - Liverpool,07377 874 440
andy@catandra.co.uk,Fore Business - Horsham,
andy@mhfatraininguk.co.uk,Fore Business - Manchester South,
andy@mpr-it.co.uk,Fore Business - Caterham,
andy@syob.net,SYOB (Start Your Own Business,
andyguile@askandyguile.co.uk,Proper Networking,07960888001
angela@womensbusiness.club,Women's Business Club,
anna.atkinscarter@theathenanetwork.com,The Athena Network,
annabel.robbins@hrdept.co.uk,IBN (Island Business Network),
annick@therooster.co.uk,Moor Park Business Club,07752 359 959
antoniadalessio@gilbertstephens.co.uk,Women in Property - Devon & Cornwall,
april.marsden@bowmanriley.com,Women in Property - Yorkshire & North East,
aruna@busynetworking.net,Busy Networking,07957 284851
aruna@bwnetworking.co.uk,Busy Women Networking,07957 284851
as@groupams.co.uk,BITA - Manchester,07561477783
avbn@ambervalley-business-networking.co.uk,Amber Valley Business Networking,01773 841496
babble@businessbabble.net,Babble,07764 657 576
barry@wordsmart.biz,Prosper (Hybrid),01920 454444
barry@yorkshirewinerascal.com,Fore Business - Harrogate,
bath@businessfocusnetworking.co.uk,Bath Business Focus,07971 279564
bedford@business-buzz.org,Business Buzz - Bedfordshire,01767 222 631
beds@bni.com,Blaze BNI (Hitchin),07969372165
bedsandherts@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Bedfordshire & Hertfordshire,
ben@buzzbd.co.uk,Fore Business - Bradford,
berkshire@bni.co.uk,BNI -Ascot,
beverley.holmes@wnychamber.co.uk,West & North Yorkshire Chamber of Commerce,0113 2470000
bgh@growthco.uk,GM Business Growth Hub,0161 359 3050
bipcnorfolk@norfolk.gov.uk,Business & IP Centre Norfolk,01603 774708
birmingham@bni.co.uk,BNI -Ace BNI (Dorridge),
birmingham@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Birmingham & Coventry,
blackcountry@bni.co.uk,BNI -Achievers BNI (Wolverhampton) - Black Country,
bni@eurobni.com,BNI - BNI Belfast Waterfront,
bni@virtuallythere.co,BNI Thomas Telford (Newport),
bninorthwales@bni.co.uk,BNI - Deeside - North Wales,
bookings@menta.org.uk,MENTA Networking Events,01284 760 206
boundary.club@essexcricket.org.uk,Essex Cricket Business Club,01245 284 929
brentwood@progressivepropertynetwork.co.uk,PPN (Progressive Property Network) - Brentwood,
brett@ybworld.co.uk,Your Business World,
brettsgroup@hotmail.com,Fore Business - Sheffield,
brian.hardie@themarketingcentre.com,Fore Business - Marlow & Maidenhead,
brian@bbnetworking.co.uk,BBN Networking,07973 139959
brianmorrison.glasgow@gmail.com,BizSocial Networking,07719 782459
bristol@bni.co.uk,BNI -BNI Bradman (Bristol),
bristol@real5networking.com,Real5 Networking - Bristol,
britishasianbusiness@iod.com,The Institute of Directors British Asian Business Group,
business.club@nufc.co.uk,Newcastle United Business Club,
cambridgeshire@bni.co.uk,BNI -BNI Granta - Cambridge,
capbusinessclubs3@gmail.com,CAP Business Clubs,07811 981929
carol@events-simplified.co.uk,BNI -Graphene BNI (Manchester - Mid Morning),
caroline@4nonline.biz,4N Online,0345 1234 444
caroline@business-network-ltd.co.uk,The Business Network Ltd -,01977 662 254
carolinehazell@thompsondarwin.com,Superwoman,
cashback@marknorthall.com,BAB Networking,07854 999 161
catherine.dryburgh@barratthomes.co.uk,Women in Property - Northern Scotland,
cbn@swanseacity.com,CBN (City Business Network),01792 616624
centralsouth@institute-of-fundraising.org.uk,Chartered Institute of Fundraising - Central South,
ceylan.boyce@wibn.co.uk,Women In Business Network - London City,
chair@abcbusinessnetwork.org,ABC Business Network,028 4066 2260
chair@readingbusinessclub.com,Reading Business Club,
chairman@basingstokebusinessclub.org.uk,Basingstoke Business Club,
chairman@doyleclub.org,The Doyle Club,
chamber@doncaster-chamber.co.uk,Chamber of trade  - Doncaster,
chamber@glasgowchamberofcommerce.com,Chamber of trade  - Glasgow,
chamber@iwchamber.co.uk,Chamber of trade  - Isle of Wight,
charlie@bniglasgowsl.com,BNI - BNI (Glasgow),07967639790
chelsea.brennan@iod.com,The Institute of Directors -Northern Ireland,
cheltenham@business-buzz.org,Business Buzz - Cheltenham,07444896434
chesandnorthwales@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) -Cheshire & North Wales,
chessocialites@gmail.com,The Cheshire Club,
chris.tucker@scmsales.co.uk,Fore Business - Derby,
chris@121businesslinks.co.uk,121 Business Links,07530588021
chris@smesuccess.co.uk,Business Growth Club,07950481280
christina@goldfinchgatherings.co.uk,Goldfinch Gatherings,07885666711
cipr.glg@gmail.com,Chartered Institute of Public Relations - Greater London,
cipreastanglia@gmail.com,Chartered Institute of Public Relations - East Anglia,
ciprscotland@gmail.com,Chartered Institute of Public Relations - Scotland,
cj@integritytaxation.co.uk,Fore Business - Telford,
claire.herbert@gateleylegal.com,Network LE,
claire.muir3@nhs.net,Cumbria Social Enterprise Partnership,01768 891555
claire@catena-network.co.uk,Catena Network,0333 009 5232
claire@wearewakefield.org.uk,We Are Wakefield,01924 965585
clara@ezpublishing.co.uk,Vox Networking,
clare@clarefarthing.co.uk,South Somerset Meetups,
clubhouse@threebridgesfc.co.uk,Three Bridges Football Club 200,
co-chairs@gwn.org.uk,GWN (LGBTQ+ Women's Network),
coastalmeetings@gmail.com,CoastalNet,
colin@edinburghconnections.co.uk,Edinburgh Connections,07767 844 942
colin@savemoney.me.uk,Network Plymouth,07973 273828
colinread@bni.co.uk,BNI - Castle BNI (East Kilbride),
dionneread@bni.co.uk,BNI - Castle BNI (East Kilbride),
commercial@afcwimbledon.co.uk,AFC Wimbledon Business Club,07561 853 775
commercial@rangers.co.uk,Rangers Business Club,
commercial@southend-united.co.uk,The Blues Business Club,
commercial@swfc.co.uk,Club Wednesday Sheffield Weds FC,
commercialteam@tigers.co.uk,Leicester Tigers Business Club,0116 217 1215
connect@birminghamsuniquenetwork.com,BUN (Birmingham's Unique Network),0121 2452066
connect@clubsynergy.co.uk,Club Synergy,07974959661
connect@dobusinessnetwork.com,Do Business Network,
constructorsclerk@constructorscompany.co.uk,The Worshipful Company of Constructors (WCC),
contact.support@globalscot.com,Global Scot,0300 013 3385
contact@cadrerocket.com,Cadre Rocket,07770587173
contact@dorsetchamber.co.uk,Chamber of trade  - Dorset,
contact@fleet4business.co.uk,Fleet 4 business,
contact@go-tribe.co.uk,GoTribe,
contact@ilikenetworking.uk,I Like Networking,
contact@propertyfoundationsgroup.co.uk,Property Foundations Group,
contact@smallbusinessnetwork.ltd,Denbighshire Small Business Network,07933 834539
contact@thecareersedit.com,The Careers Edit,
contact@theyorkshiresociety.org,The Yorkshire Society,
contactus@helmclub.co,Helm,07856 506983
coral@pinklinkladies.co.uk,Pink Link Ladies,01772 348309
corinnanicol@gmail.com,Connect Women in Biz,07976035219
craig@crseditorial.co.uk,CRS Editorial Leeds Netwalk,07846 340516
customerservices@fsb.org.uk,FSB (Federation of Small Businesses),
customerservices@thamesvalleychamber.co.uk,Chamber of trade  - Thames Valley Swindon,
customerservices@tvchamber.co.uk,Chamber of trade  - Thames Valley,
dan@cambridgeunited.com,Cambridge United Business Club (Football Club),01223 566 500
dandc@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Devon & Cornwall,
danielle@theheathhomeopath.co.uk,Women In Business Network - Highgate & Finchley,
danny@emworkwear.com,Fore Business - Huddersfield,
daryl@networx4business.co.uk,networx4business,
dave.clements@grafterssupergroups.co.uk,Edgbaston Grafters Super Group,07547 761 416
david@real5networking.com,Real5 Networking - Knutsford & Altrincham,
david@southcoastgolf.co.uk,South Coast Golf Networking,
davidthompson@teamvalleygroup.co.uk,Gateshead Business Club,
dawn@uniqueladies.co.uk,Unique Ladies Networking - Hyndburn,
dawnadlam@bni.com,BNI  - Head Office,
dean@deanafox.com,Fore Business - Darlington,
debbie.atkins@theathenanetwork.com,The Athena Network Reading &amp; Henley Region,
debbie@businesswomenunltd.co.uk,Businesswomen UnLtd,07795683598
deborah.chappell@fsb.org.uk,FSB (Federation of Small Businesses) - Greater London,07944 132198
derbyshire@bni.co.uk,BNI -BNI Trailblazers - Derbyshire South,
derbyshire@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - Derby & East Midlands,
devonwomeninbusiness@gmail.com,Devon Women in Business,07766 250192
dianne.richardson@becbusinesscluster.co.uk,BECBC (Britain's Energy Coast Business Cluster),01946 383205
dionne@bniscotlandse.com,"BNI Scotland South, East &amp; Central",
discover@xpandmarketing.co.uk,Xpand Marketing,
dorset@bni.co.uk,"BNI -Bay, Bournemouth",
dumfries@real5networking.com,Real5 Networking - Dumfries,
duncan@1pcs.co.uk,BNI Leicestershire and Rutland,
durhamteesside@bni.co.uk,BNI -Steel BNI (Middlesbrough),
east.anglia@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - East Anglia,
east.england@cbi.org.uk,The Confederation of British Industry  - East of England,
east@iod.com,The Institute of Directors - Cambridgeshire,
eastanglia@ciof.org.uk,Chartered Institute of Fundraising - East Anglia,
eastmidlands@bni.co.uk,BNI -BNI @J28 - Derbyshire South,
eastmidlands@institute-of-fundraising.org.uk,Chartered Institute of Fundraising - East Midlands,
eastofscot@cipsbranch.org,CIPS (Chartered Institute of Procurement & Supply) - East of Scotland,
ed@edboakesdriving.co.uk,Fore Business - Aylesbury,
ed@womenmeanbusiness.com,Women Mean Business (WMB),
edenslounge@gmail.com,Eden's Lounge,
eelassociation@gmail.com,EEL,07557 308 423
elaine@discplus.health,The Perfect Health Hub,
emma.clack@wibn.co.uk,Women In Business Network - Hertford & Ware,
emma.smailes@fsb.org.uk,FSB (Federation of Small Businesses) - North West,
emma@fireflyhub.uk,Firefly Hub,
emma@heneomhr.com,Women In Business Network - Hertford &amp; Ware Group,
enquires@britishchambers.org.uk,Chamber of trade,020 7654 5800
enquiries@advancenorthumberland.co.uk,Advance Northumberland,01670 528 400
enquiries@ayrshire-chamber.org,Chamber of trade  - Ayrshire,
enquiries@betternetworking.co.uk,Better Networking Hubs,07812 076946
