organiser_id,name,slug,previous_outcode,outcode,region_slug,region_label,source,confidence
5fd0f393-387d-48db-ab48-8c449e50809e,121 Business Links,121-business-links,,NE66,newcastle,Newcastle,events,high
b8b51943-d255-424a-a36d-c2d522d80e92,1884 Business Club (Cambridgeshire FA),1884-business-club-cambridgeshire-fa,,CB1,cambridgeshire,Cambridgeshire,place_name,medium
9e6f4fa2-a434-4dc6-9ef8-4aa296ace742,4Networking,4networking,,IP8,,,events,high
9fb1a074-095e-4e83-849d-a947206fc7fa,Aberdeen & Grampian Chamber of Commerce,chamber-of-trade-aberdeen,,AB12,edinburgh,Edinburgh,events,high
e0dc8a98-cea1-4a69-bfce-58e696c50be6,ABW (Ayrshire Business Women),abw-ayrshire-business-women,,KA7,glasgow,Glasgow,events,high
d7470a6f-834d-4ce1-8547-9bd84d2d5b99,ActionCOACH Wakefield,the-growthnetwork-with-actioncoach-wakefield-business-coaching,,WF1,leeds,Leeds,events,high
e9f5da13-65e9-4458-a2a6-3f001b98db24,AFVBC (Armed Forces & Veterans Breakfast Clubs),afvbc-armed-forces-veterans-breakfast-clubs,,B76,birmingham,Birmingham,events,high
741f9f72-af03-466c-bae1-0fea1552ffef,Alexander Accountancy's Property People,alexander-accountancy-s-property-people,,NG1,nottingham,Nottingham,place_in_description,low
d06f6114-5d52-44cd-a1a2-4ae945b63667,Alfresco Adventures,alfresco-adventures,,EH1,edinburgh,Edinburgh,place_in_description,low
5f4ee241-8a10-4f79-a6a5-71dc47e5f3d0,AREG (Aberdeen Renewable Energy Group),areg-aberdeen-renewable-energy-group,,IV3,edinburgh,Edinburgh,events,high
7ed5e83d-f3cb-4b18-9475-898165d099de,Arena,arena,,L3,liverpool,Liverpool,events,high
4b16c66e-d91c-4bba-aa64-3ffbfabe2a8f,ASB (Association of Scottish Business Women),asb-association-of-scottish-business-women,,PH1,,,events,high
fc8d72ac-ac11-43b9-a5b6-6286d7e68474,Avery & Co,avery-co,,L1,liverpool,Liverpool,place_in_description,low
8fac39cd-6c53-40de-8be3-a10b4cd81c83,Awakened Connections Network,awakened-connections-network,,B1,birmingham,Birmingham,place_in_description,low
25702edd-8778-440c-8481-a7a89a90880b,B2B Growth Expo,,,B92,birmingham,Birmingham,events,high
fec36afa-1d54-471f-b5c7-cba211f339c3,B2B Lunch Club,b2b-lunch-club,,NR3,,,events,high
b1cc474a-a73c-4926-9b56-65238284fbac,B4,b4,,OX25,oxford,Oxford,events,high
430ed8d8-63f4-4f2f-8047-89062c1bce5c,Barco business club,barco-business-club,,YO8,,,events,high
98389ba0-023c-4b11-badf-a9fb24d57bcc,Barnsley & Rotherham - Chamber of Commerce,chamber-of-trade-barnsley-rotherham,,S75,sheffield,Sheffield,events,high
47cf215b-2465-4e25-8340-fa1c56124883,Basingstoke Business Club,basingstoke-business-club,,RG24,berkshire,Berkshire,events,high
a2d5a6e9-0d4c-4d4f-84b5-09e27829bd15,Bath Business Focus,bath-business-focus,,BS1,bristol,Bristol,place_name,medium
56943168-0360-433a-ae78-2fc32afb4b4b,BAWE (British Association of Women Entrepreneurs in Scotland),bawe-british-association-of-women-entrepreneurs-in-scotland,,G1,glasgow,Glasgow,events,high
50ee3079-8e92-464b-a420-972cbe126ec5,BBN (Bay Business Network),bbn-bay-business-network,,LA6,lancashire,Lancashire,events,high
c164eb25-be38-4adb-aba5-f0ddc1ce7666,BBN Networking,bbn-networking,,DA1,south-london,South London,events,high
19381d9c-a835-4f94-bab8-bdea9052fcf0,BECBC (Britain's Energy Coast Business Cluster),becbc-britain-s-energy-coast-business-cluster,,CA14,,,events,high
2e6a69b0-23f7-489c-b989-427ecbdbc50e,Bedfordshire Chamber of Commerce,bedfordshire-chamber-of-commerce,,LU7,cambridgeshire,Cambridgeshire,events,high
e4eb2887-0f1b-4dec-86c7-03d66b0b6887,Berkshire Growth Hub,berkshire-growth-hub,,RG1,berkshire,Berkshire,place_name,medium
42c5174e-cc94-466a-b0a3-398060baec30,Berkshire Mummies,berkshire-mummies,,RG1,berkshire,Berkshire,place_name,medium
ef6d6534-b622-46e6-8dde-101b85061a31,Better Business Network,better-business-network,,S7,sheffield,Sheffield,events,high
c98e2e22-5c05-4a0b-9410-a5159f147b71,Better Networking Hubs,better-networking-hubs,,BB4,lancashire,Lancashire,events,high
a540db71-ef99-460c-bf8a-e28daa55c68e,Big Business Breakfast Club - Various Venues,big-business-breakfast-club-various-venues,,BN1,sussex,Sussex,place_in_description,low
2a870c87-73c1-4354-9380-a421638590b2,BiiG (Business in Ilminster Group),biig-business-in-ilminster-group,,TA19,bristol,Bristol,events,high
6eb3116e-3566-4a20-a691-81e215e3239b,BITA - Birmingham,bita-birmingham,,B1,birmingham,Birmingham,place_name,medium
4b51e5f5-41ad-40b1-9b8b-aa99e6b1333e,BITA - Kent,bita-kent,,ME17,kent,Kent,events,high
