Email,Organiser name,OTHER_GROUPS_NOTE,CLAIM_URL
hello@cornwallchamber.co.uk,"Chamber of trade  - Cornwall","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-cornwall?email=hello%40cornwallchamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@cw-chamber.co.uk,"Chamber of trade  - Coventry & Warwickshire","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-coventry-warwickshire?email=info%40cw-chamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@cumbriachamber.co.uk,"Chamber of trade  - Cumbria","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-cumbria?email=info%40cumbriachamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
reception@devonchamber.co.uk,"Chamber of trade  - Devon","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-devon?email=reception%40devonchamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
chamber@doncaster-chamber.co.uk,"Chamber of trade  - Doncaster","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-doncaster?email=chamber%40doncaster-chamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
contact@dorsetchamber.co.uk,"Chamber of trade  - Dorset","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-dorset?email=contact%40dorsetchamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@dundeeandanguschamber.co.uk,"Chamber of trade  - Dundee & Angus","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-dundee-angus?email=info%40dundeeandanguschamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
m.lockett@chamberelancs.co.uk,"Chamber of trade  - East Lancashire","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-east-lancashire?email=m.lockett%40chamberelancs.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
information@emc-dnl.co.uk,"Chamber of trade  - East Midlands (Derbyshire","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-east-midlands-derbyshire?email=information%40emc-dnl.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@edinburghchamber.co.uk,"Chamber of trade  - Edinburgh","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-edinburgh?email=info%40edinburghchamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
enquiries@essexchambers.co.uk,"Chamber of trade  - Essex","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-essex?email=enquiries%40essexchambers.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@fifechamber.co.uk,"Chamber of trade  - Fife","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-fife?email=info%40fifechamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
chamber@glasgowchamberofcommerce.com,"Chamber of trade  - Glasgow","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-glasgow?email=chamber%40glasgowchamberofcommerce.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@birmingham-chamber.com,"Chamber of trade  - Greater Birmingham","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-greater-birmingham?email=info%40birmingham-chamber.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@gmchamber.co.uk,"Chamber of trade  - Greater Manchester","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-greater-manchester?email=info%40gmchamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
info@hampshirechamber.co.uk,"Chamber of trade  - Hampshire","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-hampshire?email=info%40hampshirechamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
enquiries@hwchamber.co.uk,"Chamber of trade  - Herefordshire & Worcestershire","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-herefordshire-worcestershire?email=enquiries%40hwchamber.co.uk&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
enquiries@hertschamber.com,"Chamber of trade  - Hertfordshire","","https://www.thenetworkerhub.com/organisers/chamber-of-trade-hertfordshire?email=enquiries%40hertschamber.com&intent=organiser-claim&auth=register&next=%2Forganiser%2F%3Fonboard%3Dclaim"
